object_id,x,y,cluster
0,84.768997,33.368999,1
1,569.791016,55.458,2
2,657.622986,47.035,2
3,217.057007,362.065002,3
4,131.723999,353.368988,3
5,146.774994,77.421997,1
6,368.502991,154.195999,4
7,391.971008,154.475998,4
8,370.949005,60.969002,1
9,416.92099,8.361,-1
10,395.640991,57.213001,1
11,364.238007,350.080994,3
12,80.044998,72.875999,1
13,165.343994,62.451,1
14,383.097992,241.973007,5
15,534.528015,98.429001,2
16,226.837997,125.291,4
17,584.614014,359.845001,2
18,513.591003,233.738998,8
19,320.148987,245.128006,5
20,253.957001,352.431,3
21,454.470001,125.014999,4
22,593.575012,60.258999,2
23,263.424011,154.389999,4
24,104.670998,131.177994,4
25,409.455994,395.993988,3
26,22.503,275.391998,5
27,321.587006,243.537003,5
28,207.826004,144.104996,4
29,133.755005,93.224998,1
30,619.84198,172.75,2
31,237.182007,136.436005,4
32,163.684998,77.011002,1
33,281.02301,337.286011,3
34,157.270004,69.360001,1
35,533.072021,242.257996,8
36,156.837997,226.537994,5
37,251.759003,185.154007,6
38,204.832001,251.716995,5
39,69.941002,67.454002,1
40,370.130005,69.723999,1
41,440.248993,117.888,4
42,280.239014,133.910995,4
43,138.207993,250.878998,5
44,323.490997,273.785004,5
45,468.654999,352.671997,3
46,76.362999,223.197006,5
47,556.645996,93.600998,2
48,169.130005,392.662994,3
49,72.233002,100.092003,1
50,69.214996,106.764,1
51,605.689026,81.980003,2
52,392.868988,335.279999,3
53,589.653992,37.613998,2
54,648.013977,49.983002,2
55,341.48999,322.576996,3
56,500.55899,185.182999,7
57,382.665009,290.872009,5
58,316.484009,49.23,1
59,417.442993,61.105999,1
60,197.679993,324.520996,3
61,51.422001,238.311005,5
62,143.903,205.927994,-1
63,64.903,396.755005,3
64,601.414978,303.703003,2
65,190.248993,135.046005,4
66,281.617004,59.714001,1
67,171.975006,253.748993,5
68,635.283997,156.746994,2
69,390.591003,326.187988,3
70,103.982002,319.440002,3
71,317.335999,279.334991,5
72,199.222,60.944,1
73,357.092987,332.927002,3
74,124.990997,331.509003,3
75,651.033997,102.030998,2
76,203.373993,66.095001,1
77,466.578003,363.653992,3
78,511.313995,234.093002,8
79,395.85199,135.214996,4
80,359.006989,213.453995,5
81,33.826,32.112,1
82,358.276001,77.191002,1
83,595.35199,167.910004,2
84,6.853,139.455994,-1
85,324.690002,149.584,4
86,300.421997,148.738998,4
87,240.248001,338.417999,3
